test;coordinates;Geo Shape;id;name;nom_compteur;channel_name;id_compteur;type;channel_idqsd;counter;installation_date;mdate
a;44.8430068, -0.579228;"{""coordinates"": [-0.579228, 44.8430068], ""type"": ""Point""}";2777;Cours Clémenceau;27 Cours Clémenceau vers rue Buffon;vers rue Buffon;Z401CT11;BOUCLE;401;3;2021-04-28T12:57:13+02:00;2023-03-10T14:45:00+01:00
a;44.8430068, -0.5792738;"{""coordinates"": [-0.5792738, 44.8430068], ""type"": ""Point""}";2778;Cours Clémenceau;27 Cours Clémenceau vers rue Rolland;vers rue Rolland;Z401CT12;BOUCLE;401;6;2021-04-28T12:57:13+02:00;2023-03-10T14:45:00+01:00
a;44.7853237, -0.6435655;"{""coordinates"": [-0.6435655, 44.7853237], ""type"": ""Point""}";5791;Totem vélo;Totem vélo Sens Entrant;Sens Entrant;Z16CT101;BOUCLE;16;;2022-06-01T15:45:43+02:00;2022-06-01T15:48:40+02:00
a;44.8147465, -0.5722943;"{""coordinates"": [-0.5722943, 44.8147465], ""type"": ""Point""}";5821;Boulevard Albert 1er;Boulevard Albert 1er vers Boulevard Roosevelt;vers Boulevard Roosevelt;Z12CT15;BOUCLE;12;0;2022-11-10T14:40:38+01:00;2023-03-10T14:45:00+01:00
a;44.8257189, -0.628197;"{""coordinates"": [-0.628197, 44.8257189], ""type"": ""Point""}";2436;Avenue François Mitterrand;155 Avenue François Mitterrand vers rue Camille Vic;vers rue Camille Vic;Z904CT4;BOUCLE;904;0;2021-04-28T12:57:13+02:00;2023-03-10T14:45:00+01:00
a;44.8360088, -0.583488;"{""coordinates"": [-0.583488, 44.8360088], ""type"": ""Point""}";2452;Cours du Marechal Juin;37 Cours du Marechal Juin vers Boulevard;vers Boulevard;Z201CT5;BOUCLE;201;3;2021-04-28T12:57:13+02:00;2023-03-10T14:45:00+01:00
a;44.8700629, -0.5122519;"{""coordinates"": [-0.5122519, 44.8700629], ""type"": ""Point""}";2786;Avenue de Paris;34 Avenue de Paris vers Prévost Sansac de Traversay;vers Prévost Sansac de Traversay;Z2203CT4;BOUCLE;2203;0;2021-04-28T12:57:13+02:00;2023-03-10T14:45:00+01:00
a;44.8372518, -0.5648169;"{""coordinates"": [-0.5648169, 44.8372518], ""type"": ""Point""}";2447;Pont de Pierre;Pont de Pierre vers Bir Hakeim;vers Bir Hakeim;Z203CT6;BOUCLE;203;10;2021-04-28T12:57:13+02:00;2023-03-10T14:45:00+01:00
a;44.7939691, -0.5921401;"{""coordinates"": [-0.5921401, 44.7939691], ""type"": ""Point""}";4282;Avenue Thouars – Marne;Avenue Thouars - Marne vers rocade;vers rocade;Z1705CT2;BOUCLE;1705;0;2021-04-28T12:57:12+02:00;2023-03-10T14:45:00+01:00
a;44.8340088, -0.5986439;"{""coordinates"": [-0.5986439, 44.8340088], ""type"": ""Point""}";2441;Boulevard Antoine Gautier;Boulevard Antoine Gautier vers Cité des Pêcheurs;vers Cité des Pêcheurs;Z901CT7;BOUCLE;901;1;2021-04-28T12:57:12+02:00;2023-03-10T14:45:00+01:00
